person_id,nom,prénom,département,orcid,lien_orcid
3031,AKAR,SIMON,EUPI,0000-0003-0288-9694,https://orcid.org/0000-0003-0288-9694
3040,AL SAIH,KHALED,LIMOS,0000-0002-6180-1691,https://orcid.org/0000-0002-6180-1691
2085,ANIZON,FABRICE,UFR Chimie,0000-0001-7869-9622,https://orcid.org/0000-0001-7869-9622
2795,APITSA,SUZANNE,LCC  Dépt LEA,0009-0004-3870-5329,https://orcid.org/0009-0004-3870-5329
1652,ARAUJO,CLAUDIO,Ecole Eco,0000-0003-3699-1654,https://orcid.org/0000-0003-3699-1654
3256,ARMAND,ALEXANDRE,UFR Médecine Pr Paramédic,0000-0003-4461-7056,https://orcid.org/0000-0003-4461-7056
1853,AUBEL,CORINNE,UFR Médecine Pr Paramédic,0000-0003-4500-6505,https://orcid.org/0000-0003-4500-6505
1796,AUBERT,FRANCOIS,IAE,0000-0003-1325-7211,https://orcid.org/0000-0003-1325-7211
1954,AUROY,PASCAL,UFR Odontologie,0000-0003-0557-9341,https://orcid.org/0000-0003-0557-9341
1716,AUZELOUX,PHILIPPE,UFR Pharmacie,0000-0003-2066-3904,https://orcid.org/0000-0003-2066-3904
1990,AZOMAHOU,THEOPHILE,Ecole Eco,0000-0002-1918-0801,https://orcid.org/0000-0002-1918-0801
2239,BAHADORAN,CHRISTOPHE,UFR Math,0000-0002-1685-2481,https://orcid.org/0000-0002-1685-2481
1646,BAILLY,JEAN LUC,UFR Médecine Pr Paramédic,0000-0002-9770-6450,https://orcid.org/0000-0002-9770-6450
2610,BAILLY,MELINA,UFR STAPS Antenne Vichy,0000-0002-9202-9358,https://orcid.org/0000-0002-9202-9358
1907,BALAYSSAC,DAVID,UFR Pharmacie,0000-0002-6126-6588,https://orcid.org/0000-0002-6126-6588
1759,BALESTRINO,DAMIEN,UFR Pharmacie,0000-0001-5378-0379,https://orcid.org/0000-0001-5378-0379
2761,BAMAAROUF,MARIA,IUT GIM 63,0009-0000-3240-9132,https://orcid.org/0009-0000-3240-9132
3170,BARASINSKI,CHLOE,UFR Médecine Pr Paramédic,0000-0003-3611-8177,https://orcid.org/0000-0003-3611-8177
2556,BARAY,JEAN LUC,Ecole OPGC,0000-0003-4711-6310,https://orcid.org/0000-0003-4711-6310
2300,BARON,SILVERE,UFR Biologie,0000-0002-4524-3087,https://orcid.org/0000-0002-4524-3087
2468,BATISSE,NICOLAS,UFR Chimie,0000-0003-2501-8496,https://orcid.org/0000-0003-2501-8496
2087,BATISSON,ISABELLE,UFR Biologie,0000-0003-2827-7768,https://orcid.org/0000-0003-2827-7768
1764,BAUDOIN,MARIE ELISABETH,Ecole Droit,0000-0003-0289-0441,https://orcid.org/0000-0003-0289-0441
2294,BEAUDOIN,CLAUDE,UFR Biologie,0000-0002-4710-0610,https://orcid.org/0000-0002-4710-0610
2514,BEAUDOU,LAURENT,Polytech Génie Math,0000-0003-1959-6855,https://orcid.org/0000-0003-1959-6855
3258,BENSABER,HEDI,UFR Médecine Pr Paramédic,0009-0005-6267-8452,https://orcid.org/0009-0005-6267-8452
1947,BERNARD,LISE,UFR Pharmacie,0000-0002-1159-0048,https://orcid.org/0000-0002-1159-0048
2246,BERRY,FRANCOIS,EUPI,0000-0002-5899-4672,https://orcid.org/0000-0002-5899-4672
2605,BERTIN,CELIAN,UFR Médecine Pr Paramédic,0000-0002-2393-7061,https://orcid.org/0000-0002-2393-7061
1968,BERTOLI,SIMONE,Ecole Eco,0000-0002-6512-0834,https://orcid.org/0000-0002-6512-0834
2403,BICHON,JULIEN,UFR Math,0000-0001-7511-3307,https://orcid.org/0000-0001-7511-3307
1926,BILLARD,ELISABETH,IUT Génie Bio 63,0000-0002-6066-4584,https://orcid.org/0000-0002-6066-4584
1728,BLANCHON,LOIC,UFR Médecine Pr Paramédic,0000-0001-8842-0162,https://orcid.org/0000-0001-8842-0162
2398,BOISSEAU,NATHALIE,UFR STAPS,0000-0003-2835-1163,https://orcid.org/0000-0003-2835-1163
2545,BONHOMME,LUDOVIC,UFR Biologie,0000-0001-9410-0827,https://orcid.org/0000-0001-9410-0827
1661,BONNET,MURIEL,IUT Génie Bio 15,0000-0001-7193-3543,https://orcid.org/0000-0001-7193-3543
1661,BONNET,MURIEL,IUT Génie Bio 15,0000-0002-7284-3934,https://orcid.org/0000-0002-7284-3934
2247,BONNET,PIERRE,EUPI,0000-0003-1055-9695,https://orcid.org/0000-0003-1055-9695
2442,BONNET,PIERRE,UFR Chimie,0000-0001-6303-7431,https://orcid.org/0000-0001-6303-7431
1781,BONNET,RICHARD,UFR Médecine Pr Paramédic,0000-0002-1363-6871,https://orcid.org/0000-0002-1363-6871
2908,BOSSAERT,MARIE,LCSH Dépt Histoire,0000-0003-4456-410X,https://orcid.org/0000-0003-4456-410X
1818,BOUCHER,DELPHINE,IUT Génie Bio 63,0000-0002-6979-4094,https://orcid.org/0000-0002-6979-4094
2293,BOUET,MARINETTE,Polytech Génie Math,0000-0003-0516-8729,https://orcid.org/0000-0003-0516-8729
2410,BOUSQUET,ANGELIQUE,UFR Chimie,0000-0001-8493-5468,https://orcid.org/0000-0001-8493-5468
1727,BOYER,LOUIS,UFR Médecine Pr Paramédic,0000-0003-4656-8067,https://orcid.org/0000-0003-4656-8067
2504,BOYER,SIMON,UFR STAPS Antenne Vichy,0000-0002-5120-0761,https://orcid.org/0000-0002-5120-0761
2089,BREUL,PIERRE,Polytech Génie Civil,0000-0003-1231-3496,https://orcid.org/0000-0003-1231-3496
2445,BRIGANTE,MARCELLO,UFR Chimie,0000-0003-2150-9888,https://orcid.org/0000-0003-2150-9888
2350,BRONNER,GISELE,UFR Biologie,0000-0002-4863-4518,https://orcid.org/0000-0002-4863-4518
1884,BROUSSE,GEORGES,UFR Médecine Pr Paramédic,0000-0002-6514-5388,https://orcid.org/0000-0002-6514-5388
1825,BUC,EMMANUEL,UFR Médecine Pr Paramédic,0000-0002-3559-166X,https://orcid.org/0000-0002-3559-166X
1981,BUISSON,ANTHONY,UFR Médecine Pr Paramédic,0000-0002-6347-409X,https://orcid.org/0000-0002-6347-409X
2791,BURON,MAXIME,ISIMA,0000-0002-8227-4771,https://orcid.org/0000-0002-8227-4771
1648,BUSCAIL,HENRI,IUT Chimie 43,0000-0002-4771-7784,https://orcid.org/0000-0002-4771-7784
1840,BUSSEROLLES,JEROME,IUT Génie Bio 63,0000-0001-7542-9520,https://orcid.org/0000-0001-7542-9520
2345,CABAGNOLS,ALEXANDRE,Polytech,0000-0003-4891-6344,https://orcid.org/0000-0003-4891-6344
2106,CADET,REMI,UFR Biologie,0000-0002-9359-9758,https://orcid.org/0000-0002-9359-9758
2887,CAMPAGNA,FRANCESCO,UFR Math,0000-0001-6249-1915,https://orcid.org/0000-0001-6249-1915
1804,CANIS,MICHEL,UFR Médecine Pr Paramédic,0000-0003-0852-7811,https://orcid.org/0000-0003-0852-7811
1862,CASSAGNES,LUCIE,UFR Médecine Pr Paramédic,0000-0002-6863-5542,https://orcid.org/0000-0002-6863-5542
2684,CHABROLLES,HELENE,UFR Médecine Pr Paramédic,0000-0001-8038-2130,https://orcid.org/0000-0001-8038-2130
2048,CHAPUIS,ROLAND,Polytech Génie Electrique,0000-0003-3799-4910,https://orcid.org/0000-0003-3799-4910
2092,CHECCHIN,PAUL,IUT GIM 63,0000-0002-2930-3393,https://orcid.org/0000-0002-2930-3393
2512,CHEVALIER,BASTIEN,Polytech Génie Civil,0000-0002-5641-681X,https://orcid.org/0000-0002-5641-681X
1668,CHEZAL,JEAN MICHEL,UFR Pharmacie,0000-0001-7162-8450,https://orcid.org/0000-0001-7162-8450
1887,CHIAMBARETTA,FREDERIC,UFR Médecine Pr Paramédic,0000-0002-8657-4245,https://orcid.org/0000-0002-8657-4245
2485,CISNETTI,FEDERICO,UFR Chimie,0000-0002-9446-4601,https://orcid.org/0000-0002-9446-4601
2784,CLAES,NELE,UFR PSSSE,0000-0002-1815-0985,https://orcid.org/0000-0002-1815-0985
2315,CLAIR,DAVID,EUPI,0000-0002-5890-7292,https://orcid.org/0000-0002-5890-7292
,,,,,
2940,POUGET,MANON,LMV,0000-0002-3972-0262,https://orcid.org/0000-0002-3972-0262
